,Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness,ClickData
0,198,R,BU,62.07142857142857,BinarySearch,Outlier,False,224-406 195-99 210-236 415-652 
1,211,R,BU,58.0,BinarySearch,nan,True,224-406 195-99 210-236 415-652 
2,224,R,BU,30.0,BinarySearch,nan,True,224-406 195-99 210-236 415-652 
3,231,R,BU,85.0,BinarySearch,nan,True,224-406 195-99 210-236 415-652 
4,232,R,BU,5.0,BinarySearch,nan,True,224-406 195-99 
5,235,R,BU,118.0,BinarySearch,nan,False,224-406 195-99 210-236 415-652 
6,240,R,BU,84.0,BinarySearch,nan,True,224-406 195-99 210-236 415-652 
7,198,R,BU,62.07142857142857,IntegerBinary,Outlier,False,224-406 195-99 210-236 415-652 
8,211,R,BU,112.0,IntegerBinary,nan,True,224-406 195-99 210-236 415-652 
9,224,R,BU,86.0,IntegerBinary,nan,True,224-406 195-99 210-236 415-652 
10,231,R,BU,54.0,IntegerBinary,nan,True,224-406 195-99 210-236 415-652 
11,232,R,BU,19.0,IntegerBinary,nan,True,224-406 195-99 
12,235,R,BU,107.0,IntegerBinary,nan,False,224-406 195-99 210-236 415-652 
13,240,R,BU,98.0,IntegerBinary,nan,True,224-406 195-99 210-236 415-652 
14,206,I,BU,49.25,BinarySearch,Outlier,False,170-415 299-75 285-179 568-632 
15,214,I,BU,103.0,BinarySearch,nan,True,170-415 
16,230,I,BU,66.0,BinarySearch,nan,True,170-415 
17,238,I,BU,100.0,BinarySearch,nan,True,170-415 299-75 285-179 568-632 
18,206,I,BU,49.25,IntegerBinary,Outlier,False,170-415 299-75 285-179 568-632 
19,214,I,BU,67.0,IntegerBinary,nan,False,170-415 
20,230,I,BU,21.0,IntegerBinary,nan,True,170-415 
21,238,I,BU,32.0,IntegerBinary,nan,True,170-415 299-75 285-179 568-632 
22,182,R,TD,105.75,BinarySearch,Outlier,False,240-85 226-214 435-632 
23,210,R,TD,99.0,BinarySearch,nan,False,240-85 226-214 435-662 
24,212,R,TD,188.0,BinarySearch,nan,True,240-85 226-214 
25,226,R,TD,23.0,BinarySearch,nan,True,240-85 226-214 435-662 
26,234,R,TD,217.0,BinarySearch,nan,False,240-85 226-214 435-662 
27,182,R,TD,105.75,IntegerBinary,Outlier,False,240-85 226-214 435-632 
28,210,R,TD,103.0,IntegerBinary,nan,False,240-85 226-214 435-662 
29,234,R,TD,192.0,IntegerBinary,nan,False,240-85 226-214 435-662 
30,175,I,TD,96.75,BinarySearch,Outlier,False,182-470 199-90 128-220 116-331 431-643 
31,209,I,TD,113.0,BinarySearch,nan,True,182-470 199-90 128-220 116-331 431-643 558-750 
32,222,I,TD,116.0,BinarySearch,nan,False,182-470 199-90 128-220 116-331 
33,223,I,TD,59.0,BinarySearch,nan,True,182-470 199-90 128-220 116-331 431-643 558-750 
34,236,I,TD,119.0,BinarySearch,nan,True,182-470 199-90 128-220 116-331 431-643 558-750 
35,209,I,TD,88.0,IntegerBinary,nan,True,182-470 199-90 128-220 116-331 431-643 558-750 
36,222,I,TD,150.0,IntegerBinary,nan,False,182-470 199-90 128-220 116-331 
37,223,I,TD,117.0,IntegerBinary,nan,False,182-470 199-90 128-220 116-331 431-643 558-750 
